uniqueID,sample,year,sitecode,species_4code_IBP,territories
1991_WPWC_COGR,1991_WPWC,1991,WPWC,COGR,0.5
1992_DCSD_EUST,1992_DCSD,1992,DCSD,EUST,0.25
1992_DCSD_SOSP,1992_DCSD,1992,DCSD,SOSP,0.25
1992_DCSD_TRES,1992_DCSD,1992,DCSD,TRES,6
1992_DCSD_EAKI,1992_DCSD,1992,DCSD,EAKI,4
1992_DCSD_SPSA,1992_DCSD,1992,DCSD,SPSA,3
1992_DCSD_BAOR,1992_DCSD,1992,DCSD,BAOR,2
1992_DCSD_FISP,1992_DCSD,1992,DCSD,FISP,2
1992_DCSD_NHWR,1992_DCSD,1992,DCSD,NHWR,2
1992_DCSD_RWBL,1992_DCSD,1992,DCSD,RWBL,2
1992_DCSD_CHSP,1992_DCSD,1992,DCSD,CHSP,1.5
1992_RARO_CARW,1992_RARO,1992,RARO,CARW,0.25
1992_RARO_RWBL,1992_RARO,1992,RARO,RWBL,11.5
1992_RARO_NHWR,1992_RARO,1992,RARO,NHWR,10
1992_RARO_SOSP,1992_RARO,1992,RARO,SOSP,7.5
1992_RARO_EUST,1992_RARO,1992,RARO,EUST,6
1992_RARO_TRES,1992_RARO,1992,RARO,TRES,6
1992_RARO_REVI,1992_RARO,1992,RARO,REVI,5.5
1992_RARO_YEWA,1992_RARO,1992,RARO,YEWA,5.5
1992_RARO_COGR,1992_RARO,1992,RARO,COGR,5
1992_RARO_EAKI,1992_RARO,1992,RARO,EAKI,5
1992_RARO_EAWP,1992_RARO,1992,RARO,EAWP,5
1992_RARO_BAOR,1992_RARO,1992,RARO,BAOR,4.5
1992_RARO_COYE,1992_RARO,1992,RARO,COYE,3.5
1992_RARO_BHCO,1992_RARO,1992,RARO,BHCO,2.5
1992_RARO_FISP,1992_RARO,1992,RARO,FISP,2
1992_RARO_NOFL,1992_RARO,1992,RARO,NOFL,2
1992_RARO_GCFL,1992_RARO,1992,RARO,GCFL,1.5
1992_RARO_AMKE,1992_RARO,1992,RARO,AMKE,1
1992_RARO_AMWO,1992_RARO,1992,RARO,AMWO,1
1992_RARO_BLJA,1992_RARO,1992,RARO,BLJA,1
1992_RARO_DOWO,1992_RARO,1992,RARO,DOWO,1
1992_RARO_WAVI,1992_RARO,1992,RARO,WAVI,1
1992_RARO_WODU,1992_RARO,1992,RARO,WODU,1
1992_ROIS_RWBL,1992_ROIS,1992,ROIS,RWBL,24
1992_ROIS_NHWR,1992_ROIS,1992,ROIS,NHWR,18
1992_ROIS_SOSP,1992_ROIS,1992,ROIS,SOSP,14
1992_ROIS_YEWA,1992_ROIS,1992,ROIS,YEWA,11.5
1992_ROIS_EAWP,1992_ROIS,1992,ROIS,EAWP,9.5
1992_ROIS_TRES,1992_ROIS,1992,ROIS,TRES,9
1992_ROIS_COYE,1992_ROIS,1992,ROIS,COYE,8.5
1992_ROIS_EAKI,1992_ROIS,1992,ROIS,EAKI,8.5
1992_ROIS_BAOR,1992_ROIS,1992,ROIS,BAOR,6.5
1992_ROIS_EUST,1992_ROIS,1992,ROIS,EUST,6.5
1992_ROIS_COGR,1992_ROIS,1992,ROIS,COGR,5
1992_ROIS_LEFL,1992_ROIS,1992,ROIS,LEFL,5
1992_ROIS_WAVI,1992_ROIS,1992,ROIS,WAVI,5
1992_ROIS_AMRE,1992_ROIS,1992,ROIS,AMRE,3
1992_ROIS_GCFL,1992_ROIS,1992,ROIS,GCFL,3
1992_ROIS_REVI,1992_ROIS,1992,ROIS,REVI,3
1992_ROIS_AGOL,1992_ROIS,1992,ROIS,AGOL,2
1992_ROIS_BHCO,1992_ROIS,1992,ROIS,BHCO,2
1992_ROIS_MODO,1992_ROIS,1992,ROIS,MODO,2
1992_ROIS_SWSP,1992_ROIS,1992,ROIS,SWSP,2
1992_ROIS_AMRO,1992_ROIS,1992,ROIS,AMRO,1
1992_ROIS_DOWO,1992_ROIS,1992,ROIS,DOWO,1
1992_ROIS_NOFL,1992_ROIS,1992,ROIS,NOFL,1
1992_ROIS_RTHA,1992_ROIS,1992,ROIS,RTHA,1
1992_ROIS_GHOW,1992_ROIS,1992,ROIS,GHOW,0.5
1992_TMSL_RWBL,1992_TMSL,1992,TMSL,RWBL,11.5
1992_TMSL_COYE,1992_TMSL,1992,TMSL,COYE,9
1992_TMSL_NHWR,1992_TMSL,1992,TMSL,NHWR,8.5
1992_TMSL_SOSP,1992_TMSL,1992,TMSL,SOSP,8.5
1992_TMSL_COGR,1992_TMSL,1992,TMSL,COGR,6
1992_TMSL_YEWA,1992_TMSL,1992,TMSL,YEWA,4.5
1992_TMSL_EAWP,1992_TMSL,1992,TMSL,EAWP,4
1992_TMSL_FISP,1992_TMSL,1992,TMSL,FISP,3.5
1992_TMSL_BAOR,1992_TMSL,1992,TMSL,BAOR,3
1992_TMSL_BCCH,1992_TMSL,1992,TMSL,BCCH,3
1992_TMSL_BRTH,1992_TMSL,1992,TMSL,BRTH,3
1992_TMSL_CHSP,1992_TMSL,1992,TMSL,CHSP,3
1992_TMSL_GCFL,1992_TMSL,1992,TMSL,GCFL,3
1992_TMSL_GRCA,1992_TMSL,1992,TMSL,GRCA,3
1992_TMSL_MODO,1992_TMSL,1992,TMSL,MODO,3
1992_TMSL_TRES,1992_TMSL,1992,TMSL,TRES,3
1992_TMSL_EAKI,1992_TMSL,1992,TMSL,EAKI,2.5
1992_TMSL_CARW,1992_TMSL,1992,TMSL,CARW,2
1992_TMSL_EATO,1992_TMSL,1992,TMSL,EATO,2
1992_TMSL_NOCA,1992_TMSL,1992,TMSL,NOCA,2
1992_TMSL_SWSP,1992_TMSL,1992,TMSL,SWSP,2
1992_TMSL_AGOL,1992_TMSL,1992,TMSL,AGOL,1
1992_TMSL_AMWO,1992_TMSL,1992,TMSL,AMWO,1
1992_TMSL_BHCO,1992_TMSL,1992,TMSL,BHCO,1
1992_TMSL_CEDW,1992_TMSL,1992,TMSL,CEDW,1
1992_TMSL_EUST,1992_TMSL,1992,TMSL,EUST,1
1992_TMSL_EWPW,1992_TMSL,1992,TMSL,EWPW,1
1992_TMSL_INBU,1992_TMSL,1992,TMSL,INBU,1
1992_TMSL_MALL,1992_TMSL,1992,TMSL,MALL,1
1992_TMSL_VIRA,1992_TMSL,1992,TMSL,VIRA,1
1992_TMSL_WODU,1992_TMSL,1992,TMSL,WODU,1
1992_TMSL_EAPH,1992_TMSL,1992,TMSL,EAPH,0.5
1992_TMSL_NOFL,1992_TMSL,1992,TMSL,NOFL,0.5
1993_IDSS_TRES,1993_IDSS,1993,IDSS,TRES,13.5
1993_IDSS_RWBL,1993_IDSS,1993,IDSS,RWBL,9
1993_IDSS_CHSP,1993_IDSS,1993,IDSS,CHSP,4
1993_IDSS_SOSP,1993_IDSS,1993,IDSS,SOSP,4
1993_IDSS_EAKI,1993_IDSS,1993,IDSS,EAKI,3.5
1993_IDSS_BRTH,1993_IDSS,1993,IDSS,BRTH,3
1993_IDSS_COGR,1993_IDSS,1993,IDSS,COGR,3
1993_IDSS_EUST,1993_IDSS,1993,IDSS,EUST,2.5
1993_IDSS_FISP,1993_IDSS,1993,IDSS,FISP,2
1993_IDSS_KILL,1993_IDSS,1993,IDSS,KILL,2
1993_IDSS_AMRO,1993_IDSS,1993,IDSS,AMRO,1
1993_IDSS_SPSA,1993_IDSS,1993,IDSS,SPSA,1
1993_SRS1_RWBL,1993_SRS1,1993,SRS1,RWBL,3.5
1993_SRS1_EAKI,1993_SRS1,1993,SRS1,EAKI,1.5
1993_SRS1_KILL,1993_SRS1,1993,SRS1,KILL,1
1993_SRS1_SPSA,1993_SRS1,1993,SRS1,SPSA,1
1993_SRS2_SOSP,1993_SRS2,1993,SRS2,SOSP,2
1993_SRS2_CHSP,1993_SRS2,1993,SRS2,CHSP,1
1993_SRS2_KILL,1993_SRS2,1993,SRS2,KILL,1
1993_SRS2_RWBL,1993_SRS2,1993,SRS2,RWBL,0.5
1993_STDP_FISP,1993_STDP,1993,STDP,FISP,0.25
1993_STDP_RWBL,1993_STDP,1993,STDP,RWBL,41
1993_STDP_SOSP,1993_STDP,1993,STDP,SOSP,8.5
1993_STDP_COYE,1993_STDP,1993,STDP,COYE,6
1993_STDP_TRES,1993_STDP,1993,STDP,TRES,5.5
1993_STDP_EAKI,1993_STDP,1993,STDP,EAKI,4
1993_STDP_BAOR,1993_STDP,1993,STDP,BAOR,2
1993_STDP_COGR,1993_STDP,1993,STDP,COGR,2
1993_STDP_MODO,1993_STDP,1993,STDP,MODO,2
1993_STDP_YEWA,1993_STDP,1993,STDP,YEWA,2
1993_STDP_NHWR,1993_STDP,1993,STDP,NHWR,1.5
1993_STDP_CEDW,1993_STDP,1993,STDP,CEDW,1
1993_WPWC_NHWR,1993_WPWC,1993,WPWC,NHWR,27.5
1993_WPWC_GRCA,1993_WPWC,1993,WPWC,GRCA,6
1993_WPWC_BAOR,1993_WPWC,1993,WPWC,BAOR,5.5
1993_WPWC_CHSP,1993_WPWC,1993,WPWC,CHSP,5.5
1993_WPWC_COYE,1993_WPWC,1993,WPWC,COYE,5.5
1993_WPWC_SOSP,1993_WPWC,1993,WPWC,SOSP,5
1993_WPWC_TRES,1993_WPWC,1993,WPWC,TRES,4.5
1993_WPWC_MODO,1993_WPWC,1993,WPWC,MODO,4
1993_WPWC_EATO,1993_WPWC,1993,WPWC,EATO,3.5
1993_WPWC_FISP,1993_WPWC,1993,WPWC,FISP,3.5
