unique,sampling_year_yyyy,site_size_ha,site_code_abcd,site_name
2010 RARO,2010,13.1,RARO,Red Ash - Red Oak Savannah
2010 SRS1,2010,13.6,SRS1,Sedge - Rush Swale #1
2010 SRS2,2010,14.6,SRS2,Sedge - Rush Swale #2
2011 IDSS,2011,10.9,IDSS,Intergrading Dune - Swale Savannah
2011 BGGR,2011,13.7,BGGR,Bluegrass - Milkweed Grassland
2011 STDP,2011,15,STDP,Sedge - Tamarack Dune Pond
2012 IDSS,2012,10.9,IDSS,Intergrading Dune - Swale Savannah
2012 TMSL,2012,11,TMSL,Tamarack Slough
2012 DCJS,2012,11.3,DCJS,Dry Cottonwood - Juniper Savannah
2012 WPWC,2012,12.8,WPWC,White Pine - White Cedar Savannah
2013 ROWB,2013,8.9,ROWB,Red Oak - White Birch Savannah
2013 DCSD,2013,10.2,DCSD,Dry Cottonwood Sand Dune
2013 SRS1,2013,13.6,SRS1,Sedge - Rush Swale #1
2013 SRS2,2013,14.6,SRS2,Sedge - Rush Swale #2
2016 ROMS,2016,7.9,ROMS,Red Oak - Sugar Maple Savannah
2016 ROWB,2016,8.9,ROWB,Red Oak - White Birch Savannah
2016 ROIS,2016,9.2,ROIS,Red Oak - Ironwood Savannah
2016 DCSD,2016,10.2,DCSD,Dry Cottonwood Sand Dune
2016 IDSS,2016,10.9,IDSS,Intergrading Dune - Swale Savannah
2016 TMSL,2016,11,TMSL,Tamarack Slough
2016 DCJS,2016,11.3,DCJS,Dry Cottonwood - Juniper Savannah
2016 ROWP,2016,11.4,ROWP,Red Oak - White Pine Savannah
2016 ROMF,2016,12.5,ROMF,Red Oak - Sugar Maple Forest
2016 WPWC,2016,12.8,WPWC,White Pine - White Cedar Savannah
2016 RARO,2016,13.1,RARO,Red Ash - Red Oak Savannah
2016 SRS1,2016,13.6,SRS1,Sedge - Rush Swale #1
2016 BGGR,2016,13.7,BGGR,Bluegrass - Milkweed Grassland
2016 SRS2,2016,14.6,SRS2,Sedge - Rush Swale #2
2016 STDP,2016,15,STDP,Sedge - Tamarack Dune Pond
2017 ROWB,2017,8.9,ROWB,Red Oak - White Birch Savannah
2017 TMSL,2017,11,TMSL,Tamarack Slough
2017 ROWP,2017,11.4,ROWP,Red Oak - White Pine Savannah
2017 WPWC,2017,12.8,WPWC,White Pine - White Cedar Savannah
2017 RARO,2017,13.1,RARO,Red Ash - Red Oak Savannah
2018 ROMS,2018,7.9,ROMS,Red Oak - Sugar Maple Savannah
2018 IDSS,2018,10.9,IDSS,Intergrading Dune - Swale Savannah
2018 DCJS,2018,11.3,DCJS,Dry Cottonwood - Juniper Savannah
2018 ROMF,2018,12.5,ROMF,Red Oak - Sugar Maple Forest
2018 STDP,2018,15,STDP,Sedge - Tamarack Dune Pond
2019 ROMS,2019,7.9,ROMS,Red Oak - Sugar Maple Savannah
2019 ROWB,2019,8.9,ROWB,Red Oak - White Birch Savannah
2019 ROIS,2019,9.2,ROIS,Red Oak - Ironwood Savannah
2019 ROWP,2019,11.4,ROWP,Red Oak - White Pine Savannah
2019 RARO,2019,13.1,RARO,Red Ash - Red Oak Savannah
2021 ROMS,2021,7.9,ROMS,Red Oak - Sugar Maple Savannah
2021 ROWB,2021,8.9,ROWB,Red Oak - White Birch Savannah
