sampleyear,sitecode,speciescode,territoryabundance,territorybiomass,sitetype,sitesize,woodcountbelowbrowse,woodcountabovebrowse
2021,DCJS,BGGN,1,6.024779,terrestrial,11.3,94,2
2021,DCJS,BHCO,2,92.66916,terrestrial,11.3,94,2
2021,DCJS,BRTH,3,204.28338,terrestrial,11.3,94,2
2021,DCJS,CEDW,1,33.104,terrestrial,11.3,94,2
2021,DCJS,CHSP,17.5,213.23435,terrestrial,11.3,94,2
2021,DCJS,COGR,1,110.557,terrestrial,11.3,94,2
2021,DCJS,COYE,0.25,2.6139175,terrestrial,11.3,94,2
2021,DCJS,EAKI,1.5,59.25675,terrestrial,11.3,94,2
2021,DCJS,EATO,6,233.66424,terrestrial,11.3,94,2
2021,DCJS,FISP,16,192.56288,terrestrial,11.3,94,2
2021,DCJS,NHWR,0.25,2.6682875,terrestrial,11.3,94,2
2021,DCJS,MODO,1,131.5216,terrestrial,11.3,94,2
2021,DCJS,RWBL,2,116.03986,terrestrial,11.3,94,2
2021,DCJS,TRES,2,43.0973,terrestrial,11.3,94,2
2021,DCJS,YEWA,8,77.863056,terrestrial,11.3,94,2
1992,DCSD,BAOR,2,68.23832,terrestrial,10.2,5,0
1992,DCSD,CHSP,1.5,18.27723,terrestrial,10.2,5,0
1992,DCSD,EAKI,4,158.018,terrestrial,10.2,5,0
1992,DCSD,EUST,0.25,19.2669275,terrestrial,10.2,5,0
1992,DCSD,FISP,2,24.07036,terrestrial,10.2,5,0
1992,DCSD,NHWR,2,21.3463,terrestrial,10.2,5,0
1992,DCSD,RWBL,2,116.03986,terrestrial,10.2,5,0
1992,DCSD,SOSP,0.25,5.1711475,terrestrial,10.2,5,0
1992,DCSD,SPSA,3,121.95102,terrestrial,10.2,5,0
1992,DCSD,TRES,6,129.2919,terrestrial,10.2,5,0
1996,DCSD,CHSP,1,12.18482,terrestrial,10.2,55,0
1996,DCSD,EAKI,2.5,98.76125,terrestrial,10.2,55,0
1996,DCSD,FISP,0.5,6.01759,terrestrial,10.2,55,0
1996,DCSD,SOSP,3.5,72.396065,terrestrial,10.2,55,0
1996,DCSD,SPSA,0.5,20.32517,terrestrial,10.2,55,0
1996,DCSD,TRES,6.5,140.066225,terrestrial,10.2,55,0
2001,DCSD,CHSP,5.5,67.01651,terrestrial,10.2,190,0
2001,DCSD,EAKI,3,118.5135,terrestrial,10.2,190,0
2001,DCSD,FISP,0.5,6.01759,terrestrial,10.2,190,0
2001,DCSD,NOMO,0.5,24.023565,terrestrial,10.2,190,0
2001,DCSD,SOSP,1,20.68459,terrestrial,10.2,190,0
2001,DCSD,TRES,3,64.64595,terrestrial,10.2,190,0
2008,DCSD,AGOL,0.5,6.41823,terrestrial,10.2,592,4
2008,DCSD,AMRO,1,78.09068,terrestrial,10.2,592,4
2008,DCSD,BHCO,1,46.33458,terrestrial,10.2,592,4
2008,DCSD,CEDW,2,66.208,terrestrial,10.2,592,4
2008,DCSD,CHSP,6.5,79.20133,terrestrial,10.2,592,4
2008,DCSD,EAKI,2,79.009,terrestrial,10.2,592,4
2008,DCSD,EAWP,2,28.2,terrestrial,10.2,592,4
2008,DCSD,EUST,0.25,19.2669275,terrestrial,10.2,592,4
2008,DCSD,FISP,6,72.21108,terrestrial,10.2,592,4
2008,DCSD,NHWR,4,42.6926,terrestrial,10.2,592,4
2008,DCSD,KILL,2,117.25038,terrestrial,10.2,592,4
2008,DCSD,NOMO,1,48.04713,terrestrial,10.2,592,4
2008,DCSD,RWBL,5,290.09965,terrestrial,10.2,592,4
2008,DCSD,SOSP,0.25,5.1711475,terrestrial,10.2,592,4
2008,DCSD,TRES,4,86.1946,terrestrial,10.2,592,4
2008,DCSD,YEWA,1,9.732882,terrestrial,10.2,592,4
2016,DCSD,AMRO,1,78.09068,terrestrial,10.2,402,15
2016,DCSD,BGGN,1,6.024779,terrestrial,10.2,402,15
2016,DCSD,BRTH,1,68.09446,terrestrial,10.2,402,15
2016,DCSD,CEDW,1,33.104,terrestrial,10.2,402,15
2016,DCSD,CHSP,4,48.73928,terrestrial,10.2,402,15
2016,DCSD,COYE,0.25,2.6139175,terrestrial,10.2,402,15
2016,DCSD,EAKI,2,79.009,terrestrial,10.2,402,15
2016,DCSD,EATO,1,38.94404,terrestrial,10.2,402,15
2016,DCSD,FISP,7,84.24626,terrestrial,10.2,402,15
2016,DCSD,NHWR,8,85.3852,terrestrial,10.2,402,15
2016,DCSD,RWBL,3,174.05979,terrestrial,10.2,402,15
2016,DCSD,SOSP,0.5,10.342295,terrestrial,10.2,402,15
2016,DCSD,YEWA,6,58.397292,terrestrial,10.2,402,15
2021,DCSD,BCCH,1.5,16.142955,terrestrial,10.2,300,13
2021,DCSD,BGGN,1,6.024779,terrestrial,10.2,300,13
2021,DCSD,BRTH,1,68.09446,terrestrial,10.2,300,13
2021,DCSD,CHSP,4.5,54.83169,terrestrial,10.2,300,13
2021,DCSD,EAKI,0.5,19.75225,terrestrial,10.2,300,13
2021,DCSD,EATO,1,38.94404,terrestrial,10.2,300,13
2021,DCSD,EWPW,0.5,26.7,terrestrial,10.2,300,13
2021,DCSD,FISP,14.5,174.51011,terrestrial,10.2,300,13
2021,DCSD,NHWR,5.5,58.702325,terrestrial,10.2,300,13
2021,DCSD,RWBL,2.5,145.049825,terrestrial,10.2,300,13
2021,DCSD,TRES,0.5,10.774325,terrestrial,10.2,300,13
2021,DCSD,YEWA,3,29.198646,terrestrial,10.2,300,13
1993,IDSS,AMRO,1,78.09068,terrestrial,10.9,990,3
1993,IDSS,BRTH,3,204.28338,terrestrial,10.9,990,3
1993,IDSS,CHSP,4,48.73928,terrestrial,10.9,990,3
1993,IDSS,COGR,3,331.671,terrestrial,10.9,990,3
1993,IDSS,EAKI,3.5,138.26575,terrestrial,10.9,990,3
1993,IDSS,EUST,2.5,192.669275,terrestrial,10.9,990,3
1993,IDSS,FISP,2,24.07036,terrestrial,10.9,990,3
