sp_code,sp_common_name_text_format_nhic,sp_scientific_name_NHIC,hab_guild,food_item,nest_guild,forage_behavior,cons_status,bird_S_rank,bird_SARO_status,bird_COSEWIC_status,bird_SARA_status,bird_exotic_status,order,family,genus,coeff_wetness,food_foraging_guild_degraaf,habitat_foraging_guild_degraaf,behaviour_foraging_guild_degraaf,food_foraging_guild_degraaf_2,habitat_foraging_guild_degraaf_2,behaviour_foraging_guild_degraaf_2,food_foraging_guild_degraaf_3,habitat_foraging_guild_degraaf_3,behaviour_foraging_guild_degraaf_3,(g),",+/- SD", N  ,,(g),Month(s),Full Literature Citation,N,,(g),(+/- sd),N
CWWI,chuck-will's-widow,Antrostomus carolinensis,open woodlands,insects,ground,aerial forager,common bird in steep decline,SNA,,,,,Caprimulgiformes,Caprimulgidae,Antrostomus,,Insectivore,air,screener,,,,,,,0,0,0,0,"Adult males: mean 109.9 g ± 27.1 SD (range 66–188, n = 33); adult females: mean 107.9 g ± 15.2 SD (range 73.1–127.6, n = 24)",0,"Straight, C. A. and R. J. Cooper (2012). Chuck-will's-widow (Antrostomus carolinensis), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.499 ","Adult males n=33, adult females n=24.",0,109,0,57
COGR,common grackle,Quiscalus quiscula,open woodlands,omnivore,tree,ground forager,common bird in steep decline,S5,,,,,Passeriformes,Icteridae,Quiscalus,,Omnivore,ground,forager,,,,,,,,,,,,,,,,,,
CONI,common nighthawk,Chordeiles minor,grasslands,insects,ground,aerial forager,common bird in steep decline,S4B,SC,SC,Special Concern/Préoccupante,,Caprimulgiformes,Caprimulgidae,Chordeiles,,Insectivore,air,screener,,,,,,,,,,,,,,,,,,
COYE,common yellowthroat,Geothlypis trichas,scrub,insects,shrub,foliage gleaner,low concern,"S5B,S3N",,,,,Passeriformes,Parulidae,Geothlypis,W,Insectivore,lower-canopy,gleaner,,,,,,,10,1,10416,0,"G. t. trichas: males, mean 10.3 g ± 0.66 SD (range 7.6-15.5, n = 965), females 9.9 g ± 0.78 SD (range 7.6-15.3, n = 644); G. t. occidentalis: males, mean 10.0 g (9.5-10.7, n = 14); G. t. scirpicola: males, mean 9.2 g (8.2-10.0, n = 11",0,"Guzy, M. J. and G. Ritchison (1999). Common Yellowthroat (Geothlypis trichas), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.448 ","G. t. trichas males n=965, Females n=644.             Occidentalis, males n=14.  Scirpicola males n=11.",0,10,1,10416
COHA,Cooper's hawk,Accipiter cooperii,forests,birds,tree,aerial forager,low concern,S4,NAR,NAR,,,Accipitriformes,Accipitridae,Accipiter,,Carnivore,air,hawker,,ground,hawker,,,,336,8,2,0,males in the east of North American  average 338 g (15) and females 566 g (31).,0,"Curtis, O. E., R. N. Rosenfield, and J. Bielefeldt (2006). Cooper's Hawk (Accipiter cooperii), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.75 ",Males n=15  Females n=31,0,336,8,2
DOWO,downy woodpecker,Dryobates pubescens,forests,insects,cavity,bark forager,low concern,S5,,,,,Piciformes,Picidae,Dryobates,,Insectivore,bark,gleaner,Frugivore,lower-canopy,gleaner,,,,27,2,361,0,Males = 28.1+/-0.40 Females = 27.64+/-0.40,0,"Jackson, J. A. and H. R. Ouellet (2002). Downy Woodpecker (Dryobates pubescens), version 2.0. In The Birds of North America (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.613 ","Males n=20, Females n=18",0,27,2,361
EABL,eastern bluebird,Sialia sialis,grasslands,insects,cavity,ground forager,low concern,"S5B,S4N",NAR,NAR,,,Passeriformes,Turdidae,Sialia,,Insectivore,ground,gleaner,Frugivore,lower-canopy,gleaner,,,,29,2,114,0,28g-32g,All months,"Gowaty, P. A. and J. H. Plissner (2015). Eastern Bluebird (Sialia sialis), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.381",0,0,29,2,114
EAKI,eastern kingbird,Tyrannus tyrannus,grasslands,insects,tree,flycatching,low concern,S4B,,,,,Passeriformes,Tyrannidae,Tyrannus,,Insectivore,air,sallier,,,,,,,40,4,822,0,Males = 37.6+/-1.98. Females = 36.8+/-2.11,"Later in their nesting period, June-July","Murphy, M. T. and P. Pyle (2018). Eastern Kingbird (Tyrannus tyrannus), version 2.0. In The Birds of North America (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.easkin.02 ",Males n=136. Females n=162,0,40,4,822
EAME,eastern meadowlark,Sturnella magna,grasslands,insects,ground,ground forager,common bird in steep decline,"S4B,S3N",THR,THR,Threatened/Menacée,,Passeriformes,Icteridae,Sturnella,,Insectivore,ground,gleaner,,,,,,,84,6,19,0,Males = 101.5-150.0 Females =90-112,0,"Jaster, L. A., W. E. Jensen, and W. E. Lanyon (2012). Eastern Meadowlark (Sturnella magna), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.160 ","Males n=24, Females n=4",0,84,6,19
EAPH,eastern phoebe,Sayornis phoebe,open woodlands,insects,building,flycatching,low concern,S5B,,,,,Passeriformes,Tyrannidae,Sayornis,,Insectivore,air,sallier,,,,,,,18,2,143,0, mean weight for females feeding young in second attempt nests in Indiana was 16.9 ± 0.2 g (n = 10); males at the same time weigh 19.7 ± 0.3 g (n = 9,0,"Weeks Jr., H. P. (2011). Eastern Phoebe (Sayornis phoebe), version 2.0. In The Birds of North America (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.94 ","Males n=9, Females n=10",0,18,2,143
EASO,eastern screech-owl,Megascops asio,forests,small animals,cavity,aerial dive,low concern,S4,NAR,NAR,,,Strigiformes,Strigidae,Megascops,,Insectivore,ground,hawker,,,,,,,152,N/A,1,0,"adult males averaged 166 g, females 194 g",0,"Ritchison, G., F. R. Gehlbach, P. Pyle, and M. A. Patten (2017). Eastern Screech-Owl (Megascops asio), version 3.0. In The Birds of North America (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.easowl1.03 ",0,0,152,N/A,1
EATO,eastern towhee,Pipilo erythrophthalmus,scrub,omnivore,ground,ground forager,low concern,"S4B,S3N",,,,,Passeriformes,Passerellidae,Pipilo,,Omnivore,ground,forage,,,,,,,39,3,1333,0,"In Ohio, mean monthly mass of adults (Mar–Oct): males—37.6–44.8 g; females—38.3–44.1 g; and of immatures (Jul–Oct): 37.1–43.1 g",Mar-Oct,"Greenlaw, J. S. (2015). Eastern Towhee (Pipilo erythrophthalmus), version 2.0. In The Birds of North America (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.262 ",0,0,39,3,1333
EWPW,eastern whip-poor-will,Antrostomus vociferus,open woodlands,insects,ground,aerial forager,declining,S4B,THR,SC,Threatened/Menacée,,Caprimulgiformes,Caprimulgidae,Antrostomus,,Insectivore,air,screener,,,,,,,54,7,44,0,Males ranged from 43.0-63.7g.              Females ranged from 44.5-61.2g,0,"Cink, C. L., P. Pyle, and M. A. Patten (2017). Eastern Whip-poor-will (Antrostomus vociferus), version 3.0. In The Birds of North America (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. Retrieved from Birds of North America: https://birdsna-org.bnaproxy.birds.cornell.edu/Species-Account/bna/species/whip-p1 ","Males n=32, Females n=39",0,54,7,44
EAWP,eastern wood-pewee,Contopus virens,forests,insects,tree,flycatching,low concern,S4B,SC,SC,Special Concern/Préoccupante,,Passeriformes,Tyrannidae,Contopus,,Insectivore,air,sallier,,,,,,,14,1,2140,0,"Mean mass of 212 young (hatch-year) birds captured in September in Pennsylvania 13.3 g ± 1.09 SD (range 11.0–18.7), whereas adults (after-hatch-year) birds captured in September at the same location weighed 14.5 g ± 1.27 SD (range 12.3–18.2, n = 35)",Sept.,"Watt, D. J., J. P. McCarty, S. W. Kendrick, F. L. Newell, and P. Pyle (2017). Eastern Wood-Pewee (Contopus virens), version 2.0. In The Birds of North America (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bna.eawpew.02 ",HY. n=212.      AHY. Both male and females n=35,0,14,1,2140
EUST,european starling,Sturnus vulgaris,towns,insects,cavity,ground forager,low concern,SNA,,,,SE,Passeriformes,Sturnidae,Sturnus,,Omnivore,ground,forager,,,,,,,,,,,,,,,,,,
