sample,year,sitecode,ABDU,AGOL,AGOS,AMBI,AMCR,AMKE,AMRE,AMRO,AMWO,BAEA,BANS,BAOR,BBCU,BCCH,BEKI,BGGN,BHCO,BLBW,BLJA,BOBO,BRCR,BRTH,BTNW,CANG,CARW,CAWA,CEDW,CHSP,CHSW,COGR,COHA,CONI,COYE,CSWA,CWWI,DOWO,EABL,EAKI,EAME,EAPH,EASO,EATO,EAWP,EUST,EWPW,FISP,GCFL,GHOW,GRCA,GRHE,HAWO,HOFI,HOME,INBU,KILL,LEBI,LEFL,MALL,MAWA,MAWR,MODO,NHWR,NOCA,NOFL,NOMO,NRWS,NSWO,OROR,PBGR,PIWA,PROW,RBGR,RBNU,RBWO,REVI,RHWO,RTHA,RTHU,RWBL,SCTA,SORA,SOSP,SPSA,SSHA,SWSP,TRES,VEER,VIRA,WAVI,WBNU,WEVI,WIFL,WISN,WITU,WIWR,WODU,WTSP,YBCU,YEWA,YTVI,(blank)
1997_ROWP,1997,ROWP,,,,,,,,1.5,,,,5,,,,,,,,,,,,,,,,,,2,,,5,,,1,,4,,,,,6,3,,,,,1,,,,,,,1,,,,,1,1,2,,,,,,,,,,,,2,,,,22,,,10,,,,14,,,2,,,1,,,,,,,11,,
1997_SRS1,1997,SRS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,0.5,,,,,,,,,,,,,,,,,,
1997_SRS2,1997,SRS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2.5,,,,2,,,,,,,,,,,,,,,
1998_BGGR,1998,BGGR,,,,,,,,,,,2,1,,,,,,,,,,0.5,,,,,,2,,,,,2,,,,,3.5,1,,,,,,,6.5,,,1,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,4,,,3.5,,,,3,,,,,,,,,,,,,,,
1998_ROMS,1998,ROMS,,,,,,,1,,1,,,5,,3,,,1,,2,,,,,,,,,,,2,,,7,,,1,,5.5,,,,,8.5,4,,,3.5,0.5,,,,,,,,,,,,,,14.5,,2,,,,,,,,,,1,2,,,1,5.5,,,5.5,,,,7,,,6,1,,,,,,,,,8,,
1998_STDP,1998,STDP,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,1,,,8,,,,,2,,,,,,,,,0.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,24.5,,,9,,,,4.5,,,1,,,,,,,,,,9,,
1998_WPWC,1998,WPWC,,,,,,,,2,,,,2.5,,1,,,1,,1,,,0.5,,,3,,,4,,3,,,6,,,,,3.5,,,,2,3,,2.5,,2,,2,,,,,,,,,,,,4,16,,,,,,,,,,,,,,,,,5,,,9.5,,,,1,,,,,,,,,1,,1,,5,,
1999_DCJS,1999,DCJS,,,,,,,,1,,,,,,,,,5,,,,,,,,,,,18,,,,,,,,,,,,,,,,,2,10,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,6.5,,,,,,,2,,,,,,1.5,,
1999_RARO,1999,RARO,,,,,,,,,2,,,10.5,,1,,2,1.5,,,,,,,,,,,,,3,,,7,,,,,6.5,,,,1,7.5,,5,1,3,,2,,,,,,,,0.25,,,,,7.5,,3,,,,,,,,,,1,6.5,,0.25,,18,,,5.5,,,,10,,,4,,,,,,,,,,8.5,,
1999_ROMF,1999,ROMF,,,,,,,1,2,,,,15,,,,1,2,,2,,,,,,,,,,,,,,6.5,,,1,,6.5,,,,3,12.5,2,1,,5.5,,1,,,,,,,,,,,,,30,1,2,,,,,,,,,,2,12,,,,9,1,,2.5,,,,29,,,2,,1,,,,,,,,6,,
1999_ROMS,1999,ROMS,,,,,,,,,1,,,10.5,,1,,1,1,,2,,,,,,,,,,,2,,,4.5,,,,,6,,,,2,10,4,,,3,,,,,,,,,,,,,,,14,,1,,,,,,,,,,1,2,,,,8,,,7,,,,8,,,6,,,,,,,,,,5,,
2000_DCJS,2000,DCJS,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,9.5,,,,,,,,,,,,,,,,,,5,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,2,,,9,,,,6,,,,,,,,,,,,,3.5,,
2000_ROIS,2000,ROIS,,,,,,,4,2,1,,,4,,2,,1,2,,1,,,,,,,,,,,4,,,13.5,,,0.5,,5,,,,,9,3,,,3,0.25,4,,,,,,,,1,,,,2,13.5,1,1,,,,,,,,,,,4,,,,29,,,11.5,,,3.5,10,,,6.5,,,,,,,,,,22,,
2000_ROMF,2000,ROMF,,,,,,,1,2,,,,9.5,,4,,3,,,2,,,,,,,,2,,,1,,,6,,,4,,4,,,,1,14.5,4,1,,3,,4,,1,,,5,,,,,,,3,22,1,3,,,,,,,,,,2,7,3,0.5,1,5,,,8,,,,14,,,6,2,,,,,,,,1,3,,
2000_TMSL,2000,TMSL,,,,,,,,1,4,,,1,,2,,1,,,1,,,4,,,1,,2,8,,1,,,12.5,,,,,4,,,,1,5,,3,,4,,9,,,,,,,,,1,,1,4,13,1,,,,,,,,,,,,,,,1,17.5,,,8.5,,,3,5,,,,,,,,,,,,,28,,
2001_DCSD,2001,DCSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,3,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,
2001_RARO,2001,RARO,,,,,,,,,2,,,7,,,,,2,,2,,,,,,,,,,,1,,,6,,,2,,5.5,,,,2,7,2.5,,4.5,,,2,,,,,,,,,,,,,19,,1.5,,,,,,,,,,,2,,,,10,,,7,,,,6,,,2,,,,,,,,,1,4,,
2001_ROIS,2001,ROIS,,1,,,,,4,1.5,1,,,3,,2,,1,2,,,,,,,,,,,,,1,,,8.5,,,,,3,,,,,10.5,2,,,1,,4,,,,,,,,,,,,1.5,8.5,1,1,,,,,,,,,,1,4,,,,26,,,8.5,,,2,8,,,6,,,,,,,,,,17.5,,
2001_TMSL,2001,TMSL,,1,,,,,,2,2,,,,,3,,1,2,,1,,,2,,,1,,4,3,,4,,,5,,,,,2,,,,4,1,1,2,,2,,9,,,,,,,,2,,,,3.5,6,1,1,,,,,,,,,,,,,,,14,,,3,,,,4,,,,,1,1,,,,,,1,16,,
2002_ROWB,2002,ROWB,,,,,,,,1,,,,4,,1,,1,1,,,,,,,,,,,1,,2,,,4,,,1,,3,,,,1,3,2,4,,2,,5,,,,1,,,,,,,,,10.5,1,1,,,,,,,,,,,1,,,,12,,,3,,,,8,,,1,,,,,,,,,1,7,,
2002_ROWP,2002,ROWP,,,,,,,,,1,,,3,,,,,1,,,,,,,,2,,,1,,1,,,7.5,,,,,3,,,,,6,2,,,,,3,,,,,,,,,,,1,,1,2,1,,,,,,,,,,,,,,,16,,,5,,,,6,,,2,,,1,,,,1,,,12,,
2002_SRS1,2002,SRS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
2002_SRS2,2002,SRS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,
2002_WPWC,2002,WPWC,,,,,,,,2,,,,2,,2,,,3,,1,,,,,,,,1,6,,1,,,2,,,,,0.5,,,,4,5,,1,1,1,,6,,,,,,,,0.5,,,,2,8,1,,,,,,,,,,,,1,,,,1.5,,,1,,,,3,,,,,,,,,,,,,14,,
2003_BGGR,2003,BGGR,,,,,,,,,,,2,1.5,,,,,,,,,,,,,,,,3,,,,,4,,,,,3,,,,,,1,,6,,,,,,,,,3,,,,,,2,,,1,2,3,,,,,,,,,,,,,4,,,3,,,,2,,,,,,,,,,,,,2,,
2003_IDSS,2003,IDSS,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,6,,2,,,0.5,,,,,3,,,,,,2,,,,,,,,,,,5,,,,,,2,1,,,2.5,,,,,,,,,,,,,,1,,,3,,,,10.5,,,2,,,,,,,,,,0.5,,
2003_STDP,2003,STDP,,,,,,,,,,,,2,,,,,,,,,,0.25,,,,,1,1.5,,,,,7.5,,,,,5,,,,,1,,0.25,1,,,0.25,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,31,,1,3.5,,,2,2,,,,,,,,,,,,,8,,
2003_WPWC,2003,WPWC,,,,,,,1,0.5,,,,2.5,,2,,,1,,1,,,,,,1.5,,,7,,,1,,6.5,,,,,2,,,,5,4.5,,1,1,2,,5.5,,,,,,,,,,,,1,8.5,2.5,,,,,,,1,,,,,4,,,,2,,,2,,,,,,,,,2,,,,,,,,14,,
2004_DCJS,2004,DCJS,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,6,,1,,,,,,,,2,,,,1.5,,,,4,,,,,,1,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,2,,,8.5,,,,2,,,,,,,,,,,,,1.5,,
2004_IDSS,2004,IDSS,,,,,,,,,,,,,,,,,,,,,,2,,,,,,7,,2,,,,,,,,2.5,,,,,,1,1,2,,,,,,,,,2,,,,,,2,2,,,2,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,,
2004_ROMF,2004,ROMF,,,,,,,2,2.5,1,,,12,1,2,,1,4,,2,,,,,,,,,,,3,,,14.5,,,3,,6,,,,3,12,5.5,2.5,1.5,3.5,,8,,1,,,8,,,,,,,4,24.5,2,4,,,,,,,,2,,3,4.5,,0.5,,6.5,1,,9,,,0.25,17,,,3,2,,,,,,,,2,5.5,,
2004_ROMS,2004,ROMS,,,,,,,,4,,,,9,,3.5,,1,2,,3.5,,,,,,,,,,,3,,,14,1,,1.5,,7,,,,2,10.5,5,,4,3,,8,,1,,,6,,,,,,,,18.5,2,3,,,,,,,,,,2,3,,,1,10,,,11.5,,,,12,,,7,3,,,,,,,,1,12,,
2005_ROIS,2005,ROIS,,1,,,,,1,5,2,,,4,,2,,1,3,,1,,,,,,,,,,,2,,,9,,,3,,4,,,,,10,3,,,2.5,,5,,,,,2,,,,,,,3,12.5,1,1,,,,,,,,,,0.5,5,,,,14.5,,,10.5,,,,4.5,,,5,,,1,,,,,,,18,,
2005_ROMS,2005,ROMS,,,,,,,,3,1,,,8.5,,3,,1,5,,3,,,,,,,,,,1,3,,,7.5,,,4,,6,,,,2,11.5,2,,5,3,,8,,,,,3,,,,,,,5,18.5,2,1.5,,,,,,,,,,2,,,,,12,,,10.5,,,,7,,,6.5,,,,0.5,,,,,1,16.5,,
2005_TMSL,2005,TMSL,,1,,,,,,2,2,,,3.5,,3,,2,3,,1,,,3,,,2,,2,4,,4,,,6,1,,,,3,,,,4,2,,2,1,1,,7,,,,,,,,2,,,1,2,9,,,,,,,,,,,,,,,,,17,,,3.5,,,2,3,,1,,,1,,,,,,,2,35,,
2006_IDSS,2006,IDSS,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,5,,2.5,,,,,,,,2.5,,,,,,,,4,,,1,,,,,,,,,,,,2,2,,,2.5,,,,,,,,,,,,,,1.5,,,,,,,9.5,,,,,,,,,,,,,,,
2006_STDP,2006,STDP,,,,,,,,1.5,,,,3.5,,1,,,,,,,,,,,,,,3,,1,,,11,,,,,5,,,,2,1.5,,0.25,2,0.5,,,,,,1,,,,1,,,,2.5,5,,,,0.5,,,1,,,,,,1.5,,,,30,,,9.5,,,2,2.5,,,1,,,,,,,,,,15.5,,
2007_SRS1,2007,SRS1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,5.5,,,,,,,,,,1,,,,,,,,3,,,,,,,,,2.5,,,,,,,,,,1,,,,,,,,,,,,,,5,,,3.5,1,,,,,,,,,,,,,,,,0.25,,
2007_SRS2,2007,SRS2,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,4.5,0.5,,,1,,,,,,0.25,,,,,,,,,
2007_WPWC,2007,WPWC,,,,,,,,1.5,,,,1.5,,1,,,,,1,,,,,,,,,4,,,,,5.5,,,,,1,,,,6,4,,4,2,2,,7,,,,,,,,,,1,,1,12,3,1,,,,,,1,,,1,,4,,,,2.5,,,1,,,,,,,,,,,,,,0.5,,1,14.5,,
2008_BGGR,2008,BGGR,,1,,,,,,,1,,,1,,,,,,,,,,0.5,,,,,1,2,,,,,2,,,,,3,,,,,,1,,7,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,7.5,,,0.5,,,,2.5,,,,,,,,,,,,,2,,
2008_DCSD,2008,DCSD,,0.5,,,,,,1,,,,,,,,,1,,,,,,,,,,2,6.5,,,,,,,,,,2,,,,,2,0.25,,6,,,,,,,,,2,,,,,,,4,,,1,,,,,,,,,,,,,,5,,,0.25,,,,4,,,,,,,,,,,,,1,,
2008_IDSS,2008,IDSS,,,,,,,,1.5,1,,,,,,,,,,,,,2,,,,,,5.5,,1,,,,,,,,2,,,,,,2,1,5,,,2,,,,,,2,,,,,,,3,,,1,,,,,,,,,,,,,,4,,,1.5,,,,5,,,,,,,,,,,,1,,,
2008_RARO,2008,RARO,,,,,,,,,1,,,4.5,,1,,3,2,,1,,,,,,,,1,,,1,,,4.5,,,2,,1,,,,1,4.5,1,1,3,1,,3,,,,,1,,,,,,,,10,,1,,,,2,,,,,,,1,,,,6,,,2,,,,4,,,3,,,,,,,,,,18,,
