year,sitecode,species_4code_IBP,territories
1997,ROWP,NOCA,2
1997,ROWP,REVI,2
1997,ROWP,WAVI,2
1997,ROWP,AMRO,1.5
1997,ROWP,DOWO,1
1997,ROWP,GRCA,1
1997,ROWP,NHWR,1
1997,ROWP,LEBI,1
1997,ROWP,MODO,1
1997,ROWP,WIFL,1
1997,SRS1,RWBL,5
1997,SRS1,KILL,1
1997,SRS1,SOSP,1
1997,SRS1,EAKI,0.5
1997,SRS1,SPSA,0.5
1997,SRS2,SOSP,2.5
1997,SRS2,RWBL,2
1997,SRS2,TRES,2
1997,SRS2,EAKI,0.5
1998,BGGR,FISP,6.5
1998,BGGR,RWBL,4
1998,BGGR,EAKI,3.5
1998,BGGR,SOSP,3.5
1998,BGGR,TRES,3
1998,BGGR,BANS,2
1998,BGGR,CHSP,2
1998,BGGR,COYE,2
1998,BGGR,BAOR,1
1998,BGGR,EAME,1
1998,BGGR,GRCA,1
1998,BGGR,KILL,1
1998,BGGR,MODO,1
1998,BGGR,NOFL,1
1998,BGGR,BRTH,0.5
1998,ROMS,NHWR,14.5
1998,ROMS,EAWP,8.5
1998,ROMS,YEWA,8
1998,ROMS,COYE,7
1998,ROMS,TRES,7
1998,ROMS,WAVI,6
1998,ROMS,EAKI,5.5
1998,ROMS,RWBL,5.5
1998,ROMS,SOSP,5.5
1998,ROMS,BAOR,5
1998,ROMS,EUST,4
1998,ROMS,GCFL,3.5
1998,ROMS,BCCH,3
1998,ROMS,BLJA,2
1998,ROMS,COGR,2
1998,ROMS,NOFL,2
1998,ROMS,REVI,2
1998,ROMS,AMRE,1
1998,ROMS,AMWO,1
1998,ROMS,BHCO,1
1998,ROMS,DOWO,1
1998,ROMS,RBWO,1
1998,ROMS,RTHU,1
1998,ROMS,WBNU,1
1998,ROMS,GHOW,0.5
1998,STDP,RWBL,24.5
1998,STDP,SOSP,9
1998,STDP,YEWA,9
1998,STDP,COYE,8
1998,STDP,TRES,4.5
1998,STDP,EAKI,2
1998,STDP,BAOR,1.5
1998,STDP,COGR,1
1998,STDP,MODO,1
1998,STDP,WAVI,1
1998,STDP,GCFL,0.5
1998,WPWC,NHWR,16
1998,WPWC,SOSP,9.5
1998,WPWC,COYE,6
1998,WPWC,RWBL,5
1998,WPWC,YEWA,5
1998,WPWC,CHSP,4
1998,WPWC,MODO,4
1998,WPWC,EAKI,3.5
1998,WPWC,CARW,3
1998,WPWC,COGR,3
1998,WPWC,EAWP,3
1998,WPWC,BAOR,2.5
1998,WPWC,EWPW,2.5
1998,WPWC,AMRO,2
1998,WPWC,EATO,2
1998,WPWC,GCFL,2
1998,WPWC,GRCA,2
1998,WPWC,BCCH,1
1998,WPWC,BHCO,1
1998,WPWC,BLJA,1
1998,WPWC,TRES,1
1998,WPWC,WIWR,1
1998,WPWC,WTSP,1
1998,WPWC,BRTH,0.5
1999,DCJS,SOSP,35
1999,DCJS,CHSP,18
1999,DCJS,FISP,10
1999,DCJS,TRES,6.5
1999,DCJS,BHCO,5
1999,DCJS,EWPW,2
1999,DCJS,WISN,2
1999,DCJS,YEWA,1.5
1999,DCJS,AMRO,1
1999,DCJS,KILL,0.5
1999,RARO,RWBL,18
1999,RARO,BAOR,10.5
1999,RARO,TRES,10
1999,RARO,YEWA,8.5
1999,RARO,EAWP,7.5
1999,RARO,NHWR,7.5
1999,RARO,COYE,7
1999,RARO,EAKI,6.5
1999,RARO,REVI,6.5
1999,RARO,SOSP,5.5
1999,RARO,EWPW,5
1999,RARO,WAVI,4
1999,RARO,COGR,3
1999,RARO,GCFL,3
1999,RARO,NOFL,3
1999,RARO,AMWO,2
1999,RARO,BGGN,2
1999,RARO,GRCA,2
1999,RARO,BHCO,1.5
1999,RARO,BCCH,1
1999,RARO,EATO,1
1999,RARO,FISP,1
1999,RARO,RBWO,1
1999,RARO,LEFL,0.25
1999,RARO,RTHA,0.25
1999,ROMF,NHWR,30
1999,ROMF,TRES,29
1999,ROMF,BAOR,15
1999,ROMF,EAWP,12.5
1999,ROMF,REVI,12
1999,ROMF,RWBL,9
1999,ROMF,COYE,6.5
1999,ROMF,EAKI,6.5
1999,ROMF,YEWA,6
1999,ROMF,GCFL,5.5
1999,ROMF,EATO,3
1999,ROMF,SOSP,2.5
1999,ROMF,AMRO,2
1999,ROMF,BHCO,2
1999,ROMF,BLJA,2
1999,ROMF,EUST,2
1999,ROMF,NOFL,2
1999,ROMF,RBWO,2
1999,ROMF,WAVI,2
1999,ROMF,AMRE,1
1999,ROMF,BGGN,1
1999,ROMF,DOWO,1
1999,ROMF,EWPW,1
1999,ROMF,GRCA,1
1999,ROMF,NOCA,1
1999,ROMF,SCTA,1
1999,ROMF,WEVI,1
1999,ROMS,NHWR,14
1999,ROMS,BAOR,10.5
1999,ROMS,EAWP,10
1999,ROMS,RWBL,8
1999,ROMS,TRES,8
1999,ROMS,SOSP,7
1999,ROMS,EAKI,6
1999,ROMS,WAVI,6
1999,ROMS,YEWA,5
1999,ROMS,COYE,4.5
1999,ROMS,EUST,4
1999,ROMS,GCFL,3
1999,ROMS,BLJA,2
1999,ROMS,COGR,2
1999,ROMS,EATO,2
1999,ROMS,REVI,2
1999,ROMS,AMWO,1
1999,ROMS,BCCH,1
1999,ROMS,BGGN,1
1999,ROMS,BHCO,1
1999,ROMS,NOFL,1
1999,ROMS,RBWO,1
2000,DCJS,CHSP,9.5
2000,DCJS,SOSP,9
2000,DCJS,TRES,6
2000,DCJS,FISP,5
2000,DCJS,YEWA,3.5
2000,DCJS,RWBL,2
2000,DCJS,KILL,1.5
2000,DCJS,AMRO,1
2000,DCJS,CEDW,1
2000,ROIS,GHOW,0.25
2000,ROIS,RWBL,29
2000,ROIS,YEWA,22
2000,ROIS,COYE,13.5
2000,ROIS,NHWR,13.5
2000,ROIS,SOSP,11.5
2000,ROIS,TRES,10
2000,ROIS,EAWP,9
2000,ROIS,WAVI,6.5
2000,ROIS,EAKI,5
